# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
2563.1 10476 -29.332 123.255 2.092 67.123 3.347 1.333 2.112 3756 1114 2435 0.1342 -0.08675 0.02374 73.12
2573.1 10456 -29.496 122.991 2.071 67.075 3.338 1.331 2.108 3745 1114 2429 0.2733 -0.1311 0.0711 73.08
2583.1 10443 -29.751 122.700 2.085 67.099 3.33 1.331 2.105 3731 1116 2423 0.4093 -0.1767 0.1163 73.05
2593.1 10428 -30.001 122.398 2.061 67.102 3.323 1.33 2.102 3716 1117 2417 0.5434 -0.2215 0.161 73.03
2603.1 10408 -30.162 122.012 2.122 67.103 3.314 1.328 2.098 3698 1119 2409 0.6774 -0.2656 0.2059 72.99
2613.1 10396 -30.438 121.620 2.122 67.175 3.305 1.327 2.094 3679 1122 2401 0.8071 -0.3105 0.2483 72.97
2623.1 10383 -30.684 121.169 2.095 67.277 3.297 1.327 2.091 3655 1127 2391 0.933 -0.356 0.2885 72.95
2633.1 10365 -30.835 120.636 2.196 67.386 3.287 1.327 2.089 3626 1131 2379 1.055 -0.4012 0.3268 72.92
2643.1 10349 -31.046 120.121 2.241 67.492 3.278 1.327 2.085 3598 1136 2367 1.172 -0.4449 0.3638 72.89
2653.1 10333 -31.252 119.569 2.213 67.616 3.269 1.326 2.082 3570 1141 2355 1.283 -0.4862 0.3982 72.86
2663.1 10326 -31.591 119.023 2.250 67.803 3.262 1.325 2.079 3540 1149 2345 1.382 -0.5256 0.428 72.84
2673.1 10318 -31.897 118.426 2.307 68.022 3.256 1.324 2.077 3507 1157 2332 1.468 -0.5621 0.4531 72.83
2683.1 10302 -32.095 117.783 2.302 68.202 3.25 1.322 2.073 3473 1165 2319 1.545 -0.5933 0.4756 72.8
2693.1 10292 -32.367 117.124 2.292 68.439 3.246 1.321 2.071 3437 1174 2305 1.607 -0.6223 0.4921 72.78
2703.1 10282 -32.613 116.411 2.274 68.713 3.239 1.32 2.068 3398 1184 2291 1.658 -0.6485 0.5047 72.76
2713.1 10271 -32.855 115.689 2.254 68.980 3.234 1.318 2.065 3360 1195 2277 1.699 -0.671 0.5139 72.74
2723.1 10262 -33.143 114.988 2.295 69.247 3.231 1.316 2.062 3323 1205 2264 1.73 -0.6901 0.5197 72.72
2733.1 10257 -33.449 114.239 2.311 69.593 3.227 1.315 2.06 3282 1218 2250 1.75 -0.7086 0.5206 72.71
2743.1 10246 -33.701 113.501 2.263 69.880 3.225 1.313 2.057 3242 1229 2236 1.762 -0.7223 0.5197 72.7
2753.1 10234 -33.938 112.743 2.331 70.149 3.223 1.31 2.054 3203 1240 2221 1.768 -0.7333 0.5172 72.67
2763.1 10224 -34.205 111.994 2.311 70.447 3.222 1.307 2.052 3163 1252 2207 1.767 -0.7428 0.5121 72.66
2773.1 10224 -34.594 111.257 2.319 70.831 3.221 1.306 2.051 3123 1266 2194 1.76 -0.7536 0.5033 72.66
2783.1 10224 -34.984 110.520 2.326 71.218 3.221 1.305 2.05 3083 1280 2182 1.75 -0.7636 0.4934 72.66
2793.1 10224 -35.373 109.782 2.333 71.609 3.219 1.304 2.049 3043 1295 2169 1.738 -0.7732 0.4825 72.66
2803.1 10224 -35.763 109.045 2.341 72.003 3.218 1.304 2.048 3004 1310 2157 1.724 -0.7824 0.4709 72.66
2813.1 10224 -36.153 108.310 2.348 72.399 3.216 1.303 2.047 2966 1325 2145 1.708 -0.7911 0.4587 72.66
2823.1 10224 -36.542 107.577 2.355 72.797 3.213 1.302 2.045 2927 1341 2134 1.691 -0.7994 0.4458 72.66
2833.1 10224 -36.932 106.847 2.363 73.197 3.21 1.302 2.044 2890 1356 2123 1.672 -0.8074 0.4325 72.66
2843.1 10224 -37.322 106.121 2.370 73.599 3.206 1.302 2.043 2853 1372 2112 1.652 -0.8149 0.4187 72.66
2853.1 10224 -37.711 105.399 2.378 74.002 3.201 1.301 2.041 2816 1388 2102 1.631 -0.822 0.4044 72.66
2863.1 10224 -38.100 104.682 2.385 74.406 3.196 1.302 2.04 2780 1405 2092 1.608 -0.8286 0.3897 72.66
2873.1 10224 -38.489 103.971 2.392 74.811 3.19 1.302 2.038 2744 1421 2083 1.584 -0.8346 0.3746 72.66
2883.1 10094 -37.386 103.023 2.051 73.958 3.178 1.282 2.019 2713 1398 2055 1.582 -0.806 0.3879 72.44
2893.1 10081 -37.622 102.280 2.040 74.240 3.169 1.281 2.015 2678 1411 2044 1.556 -0.8059 0.375 72.41
2903.1 10068 -37.844 101.528 2.101 74.540 3.16 1.28 2.011 2642 1424 2033 1.526 -0.8039 0.3608 72.38
2913.1 10055 -38.090 100.818 2.195 74.805 3.154 1.279 2.008 2608 1436 2022 1.491 -0.7984 0.3462 72.36
2923.1 10042 -38.323 100.102 2.185 75.091 3.148 1.279 2.006 2574 1448 2011 1.45 -0.7904 0.33 72.34
2933.1 10030 -38.571 99.396 2.187 75.367 3.14 1.278 2.003 2541 1461 2001 1.407 -0.7788 0.3141 72.31
2943.1 10014 -38.803 98.733 2.106 75.572 3.136 1.275 2 2511 1471 1991 1.359 -0.762 0.2986 72.29
2953.1 10000 -39.062 98.090 2.196 75.776 3.132 1.273 1.997 2481 1481 1981 1.306 -0.7418 0.282 72.26
2963.1 9994 -39.391 97.454 2.217 76.080 3.128 1.272 1.995 2451 1494 1972 1.246 -0.7204 0.2626 72.25
2973.1 9984 -39.697 96.846 2.188 76.306 3.126 1.27 1.992 2424 1505 1964 1.182 -0.6933 0.2441 72.24
2983.1 9973 -39.982 96.248 2.156 76.547 3.124 1.268 1.99 2396 1516 1956 1.113 -0.6622 0.2253 72.22
2993.1 9952 -40.226 95.728 2.303 76.577 3.125 1.261 1.985 2376 1520 1948 1.043 -0.6222 0.2102 72.18
3003.1 9944 -40.550 95.165 2.376 76.805 3.123 1.258 1.982 2351 1531 1941 0.9666 -0.5841 0.1912 72.16
